Open,High,Low,Close
608.0,615.1099853515625,605.5700073242188,614.3099975585938
611.0,615.030029296875,605.510009765625,614.2100219726562
612.75,630.4099731445312,611.5,630.0800170898438
633.2100219726562,638.0,616.5800170898438,617.1400146484375
624.9199829101562,637.9099731445312,622.7100219726562,636.1799926757812
636.3900146484375,639.0,628.1099853515625,628.4099731445312
631.989990234375,631.989990234375,615.6300048828125,618.2000122070312
610.969970703125,620.1400146484375,609.3400268554688,618.5800170898438
624.4199829101562,631.6599731445312,617.239990234375,628.780029296875
628.22998046875,633.1199951171875,618.9199829101562,622.8300170898438
630.1699829101562,630.1699829101562,603.8699951171875,607.1500244140625
607.5,622.4500122070312,607.5,617.52001953125
620.969970703125,620.969970703125,607.7100219726562,613.6900024414062
612.0999755859375,621.3300170898438,605.4299926757812,610.5599975585938
567.8800048828125,579.0,552.1599731445312,555.0399780273438
550.6599731445312,558.6099853515625,542.010009765625,554.5999755859375
556.489990234375,579.2100219726562,555.280029296875,577.75
574.3099975585938,576.9099731445312,551.2999877929688,555.1199951171875
549.4600219726562,566.5399780273438,545.7100219726562,564.7999877929688
558.2100219726562,562.9199829101562,553.1900024414062,561.22998046875
559.1799926757812,559.6400146484375,554.239990234375,559.489990234375
